"claim_id","route","source_file","source_line","locale","page_type","claim_type","exact_claim","current_citation","authoritative_source","source_location","fact_status","severity","confidence","reasoning_summary","minimal_correction","related_translation_route","localization_status","product_evidence","owner_decision_applies","notes"
"FACT-0001","/articles/are-decibel-meter-apps-accurate/","src/content/articles/en/are-decibel-meter-apps-accurate.md","1","en","article","metadata_and_route_identity","Title: Are Decibel Meter Apps Accurate? | dBcheck; description: How accurate smartphone decibel meter apps can be, why Android results vary, what calibration can improve, and when a professional meter is required.; canonical: https://dbcheck.app/articles/are-decibel-meter-apps-accurate/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/sind-dezibel-apps-genau/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0002","/articles/db-vs-dba/","src/content/articles/en/db-vs-dba.md","1","en","article","metadata_and_route_identity","Title: dB vs dBA: What Is the Difference? | dBcheck; description: The practical difference between dB and dBA, what A-weighting does, why dBA is widely used, and when another metric may be needed.; canonical: https://dbcheck.app/articles/db-vs-dba/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/db-und-dba-unterschied/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0003","/articles/how-long-can-you-listen-at-85-db/","src/content/articles/en/how-long-can-you-listen-at-85-db.md","1","en","article","metadata_and_route_identity","Title: NIOSH Exposure Time at 85 dBA: How the Model Works | dBcheck; description: How the NIOSH 85 dBA model calculates occupational exposure time from 85 to 115 dBA, and why the result is not a personal safety guarantee.; canonical: https://dbcheck.app/articles/how-long-can-you-listen-at-85-db/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/wie-lange-85-db-hoeren/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0004","/articles/how-to-calibrate-a-decibel-meter-app/","src/content/articles/en/how-to-calibrate-a-decibel-meter-app.md","1","en","article","metadata_and_route_identity","Title: How to Calibrate a Decibel Meter App | dBcheck; description: How to align a smartphone sound meter app with a reliable reference, calculate an offset, verify several levels, and understand what calibration cannot fix.; canonical: https://dbcheck.app/articles/how-to-calibrate-a-decibel-meter-app/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/dezibel-app-kalibrieren/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0005","/articles/how-to-measure-decibels-with-android-phone/","src/content/articles/en/how-to-measure-decibels-with-android-phone.md","1","en","article","metadata_and_route_identity","Title: How to Measure Decibels With an Android Phone | dBcheck; description: Measure environmental sound with an Android phone while controlling position, distance, duration, settings, and common sources of error.; canonical: https://dbcheck.app/articles/how-to-measure-decibels-with-android-phone/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/dezibel-messen-mit-android-handy/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0006","/articles/","src/pages/articles/index.astro","1","en","article_index","metadata_and_route_identity","Title: Articles and sound guides | dBcheck; description: Sourced dBcheck guides about decibels, phone sound measurement, noise exposure and common sound levels.; canonical: https://dbcheck.app/articles/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0007","/articles/is-3-db-twice-as-loud/","src/content/articles/en/is-3-db-twice-as-loud.md","1","en","article","metadata_and_route_identity","Title: Is 3 dB Twice as Loud? Energy vs Loudness | dBcheck; description: Why a 3 dB increase doubles sound energy but not perceived loudness, what a 10 dB change means, and how the NIOSH 3 dB exchange rate works.; canonical: https://dbcheck.app/articles/is-3-db-twice-as-loud/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/sind-3-db-doppelt-so-laut/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0008","/articles/niosh-vs-osha-noise-exposure-limits/","src/content/articles/en/niosh-vs-osha-noise-exposure-limits.md","1","en","article","metadata_and_route_identity","Title: NIOSH vs OSHA Noise Exposure Limits | dBcheck; description: Compare NIOSH and OSHA noise limits, including criterion levels, exchange rates, dose, TWA, hearing conservation, and legal status.; canonical: https://dbcheck.app/articles/niosh-vs-osha-noise-exposure-limits/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/laermexpositionsgrenzen-deutschland-eu/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0009","/articles/phone-sound-meter-vs-professional-meter/","src/content/articles/en/phone-sound-meter-vs-professional-meter.md","1","en","article","metadata_and_route_identity","Title: Phone Sound Meter vs Professional Meter | dBcheck; description: Compare phone sound meter apps with professional meters for accuracy, calibration, peak capture, compliance, cost, and practical use.; canonical: https://dbcheck.app/articles/phone-sound-meter-vs-professional-meter/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/schallpegelmesser-app-vs-messgeraet/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
"FACT-0010","/articles/what-is-a-decibel/","src/content/articles/en/what-is-a-decibel.md","1","en","article","metadata_and_route_identity","Title: What Is a Decibel? A Simple Guide to Sound Levels | dBcheck; description: A clear explanation of what decibels measure, why the dB scale is logarithmic, how dB differs from dBA, and how to interpret common level changes.; canonical: https://dbcheck.app/articles/what-is-a-decibel/","","fresh local build and live production response","title, meta description, canonical, hreflang, sitemap and visible H1","NO_SOURCE_NEEDED","","high","Title and description match the visible subject; canonical is self-referencing; local and live bytes match.","KEEP AS IS","https://dbcheck.app/de/artikel/was-ist-ein-dezibel/","MATCHES_SOURCE_LANGUAGE","","no","Also covers mirrored Open Graph/Twitter descriptions and JSON-LD route identity."
